,eta,M,M_sqr,U,U_sqr
236,-0.867892976588629,-982.64,965701.92,-301.60635451505044,90973.7607862106
237,-0.8779264214046822,-981.48,963398.4,-311.53922408026756,97063.27110363418
238,-0.887959866220736,-983.28,966932.08,-320.98117725752525,103033.9028419907
239,-0.8979933110367893,-983.82,968006.52,-331.0797792642141,109618.60253779266
240,-0.908026755852843,-985.22,970750.2,-340.884120401338,116208.20586099946
241,-0.9180602006688963,-986.2,972684.08,-350.7749698996655,123047.76748705716
242,-0.92809364548495,-988.4,977016.08,-360.4497591973246,129928.00797067159
243,-0.9381270903010033,-988.34,976893.88,-370.07652842809364,136960.74037799574
244,-0.948160535117057,-989.12,978447.24,-380.24954849498346,144593.38736366498
245,-0.9581939799331103,-989.92,980017.84,-389.93538461538446,152053.50818917007
246,-0.968227424749164,-991.92,983981.4,-399.84214715719077,159876.77028237729
247,-0.9782608695652173,-991.0,982151.26,-409.7525217391303,167900.9041293005
248,-0.988294314381271,-991.92,983984.48,-419.5788963210704,176050.0076207963
249,-0.9983277591973243,-993.62,987358.6,-429.93242809364546,184844.79300290596
250,-1.008361204013378,-993.0,986120.56,-439.56467558528436,193220.14093230735
251,-1.0183946488294313,-993.12,986366.32,-449.54809364548487,202096.58683011588
252,-1.028428093645485,-995.81,991701.34,-459.4079799331105,211057.57707282927
253,-1.0384615384615383,-995.58,991244.92,-469.5955384615383,220522.5712544378
254,-1.048494983277592,-997.74,995539.72,-479.4793846153847,229902.6193313275
255,-1.0585284280936453,-997.145,994352.91,-489.403329431438,239518.0671012415
256,-1.068561872909699,-997.42,994906.16,-499.47998327759205,249482.42324892792
257,-1.0785953177257528,-997.03,994127.42,-509.5558896321074,259649.44562748325
258,-1.088628762541806,-999.9,999862.28,-519.3178996655519,269693.2826555141
259,-1.0986622073578598,-998.2,996466.28,-529.4896153846156,280361.69137626456
260,-1.108695652173913,-999.98,1000009.56,-539.5494782608696,291116.94898525527
